model_year,make_,model.1_,vehicleclass_,motor_(kw),enginesize_(l),cylinders_,transmission_,fuel_type1,consumption_combinedle/100km,range1_(km),recharge_time(h),fuel.1_type2,consumption.1_city(l/100km),fuelconsumption_hwy(l/100km),fuelconsumption_comb(l/100km),range2_(km),co2emissions_(g/km),co2_rating,smog_rating,transmission_type,number_of_gears
2020,ford,escape plug-in hybrid,suv - small,62,2.5,4.0,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60,3.3,X,5.4,6.2,5.8,790,48,10,7,continuously variable,
2020,ford,fusion energi,mid-size,35,2.0,4.0,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7,continuously variable,
2020,honda,clarity plug-in hybrid,mid-size,135,1.5,4.0,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8,continuously variable,
2020,hyundai,ioniq electric plus,mid-size,45,1.6,4.0,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7,automated manual,6
2020,kia,niro plug-in hybrid,station wagon - small,45,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7,automated manual,6
2020,kia,optima plug-in hybrid,mid-size,50,2.0,4.0,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45,2.7,X,6.0,5.3,5.7,962,60,10,7,automated manual,6
2020,lincoln,aviator grand touring,suv - standard,62,3.0,6.0,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7,automatic with select Shift,10
2020,mercedes-benz,glc 350e 4matic,suv - small,90,2.0,4.0,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35,1.3,Z,10.2,8.4,9.4,538,109,10,5,automatic,9
2020,mercedes-benz,s 560e,full-size,90,3.0,6.0,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31,1.3,Z,11.4,9.0,10.3,785,127,9,3,automatic,9
2020,mini,cooper se countryman all4,mid-size,65,1.5,3.0,AS6,B/Z*,3.2 ([28.6 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,10,3,automatic with select Shift,6
2020,mitsubishi,outlander phev awd,suv - small,60,2.0,4.0,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7,automatic,1
2020,porsche,panamera 4 e-hybrid,full-size,70,2.9,6.0,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5,automated manual,8
2020,porsche,panamera turbo s e-hybrid,full-size,70,4.0,8.0,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3,automated manual,8
2020,subaru,crosstrek hybrid awd,suv - small,100,2.0,4.0,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6,continuously variable,
2020,toyota,prius prime,mid-size,71,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7,continuously variable,
2020,volvo,s60 t8 awd,compact,65,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7,automatic with select Shift,8
2020,volvo,s90 t8 awd,mid-size,65,2.0,4.0,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8.3,7.5,7.9,761,99,10,7,automatic with select Shift,8
2020,volvo,v60 t8 awd,station wagon - small,65,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7,automatic with select Shift,8
2020,volvo,xc60 t8 awd,suv - small,65,2.0,4.0,AS8,B/Z*,4.2 ([38.2 kWh + 0.0 L]/100 km),27,3,Z,9.5,8.7,9.1,781,128,9,7,automatic with select Shift,8
2020,volvo,xc90 t8 awd,suv - standard,65,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9.1,8.4,8.8,813,120,10,7,automatic with select Shift,8
