number_units_sold,make,model_,date
53,Buick,Regal,2019-06-01
62,Buick,Regal,2019-07-01
64,Buick,Regal,2019-08-01
184,Buick,Regal,2019-09-01
112,Buick,Regal,2019-10-01
96,Buick,Regal,2019-11-01
24,Buick,Regal,2019-12-01
80,Cadillac,ATS,2019-01-01
92,Cadillac,ATS,2019-02-01
138,Cadillac,ATS,2019-03-01
143,Cadillac,ATS,2019-04-01
160,Cadillac,ATS,2019-05-01
121,Cadillac,ATS,2019-06-01
139,Cadillac,ATS,2019-07-01
146,Cadillac,ATS,2019-08-01
3,Cadillac,ATS,2019-09-01
5,Cadillac,ATS,2019-10-01
4,Cadillac,ATS,2019-11-01
1,Cadillac,ATS,2019-12-01
11,Cadillac,CT6,2019-01-01
13,Cadillac,CT6,2019-02-01
19,Cadillac,CT6,2019-03-01
20,Cadillac,CT6,2019-04-01
22,Cadillac,CT6,2019-05-01
17,Cadillac,CT6,2019-06-01
19,Cadillac,CT6,2019-07-01
20,Cadillac,CT6,2019-08-01
11,Cadillac,CT6,2019-09-01
13,Cadillac,CT6,2019-10-01
11,Cadillac,CT6,2019-11-01
25,Cadillac,CT6,2019-12-01
22,Cadillac,CTS,2019-01-01
25,Cadillac,CTS,2019-02-01
38,Cadillac,CTS,2019-03-01
40,Cadillac,CTS,2019-04-01
44,Cadillac,CTS,2019-05-01
34,Cadillac,CTS,2019-06-01
39,Cadillac,CTS,2019-07-01
40,Cadillac,CTS,2019-08-01
10,Cadillac,CTS,2019-09-01
20,Cadillac,CTS,2019-10-01
17,Cadillac,CTS,2019-11-01
5,Cadillac,CTS,2019-12-01
137,Cadillac,Escalade,2019-01-01
157,Cadillac,Escalade,2019-02-01
237,Cadillac,Escalade,2019-03-01
246,Cadillac,Escalade,2019-04-01
273,Cadillac,Escalade,2019-05-01
206,Cadillac,Escalade,2019-06-01
238,Cadillac,Escalade,2019-07-01
249,Cadillac,Escalade,2019-08-01
225,Cadillac,Escalade,2019-09-01
194,Cadillac,Escalade,2019-10-01
165,Cadillac,Escalade,2019-11-01
188,Cadillac,Escalade,2019-12-01
250,Cadillac,XT4,2019-01-01
312,Cadillac,XT4,2019-02-01
329,Cadillac,XT4,2019-03-01
298,Cadillac,XT4,2019-04-01
371,Cadillac,XT4,2019-05-01
437,Cadillac,XT4,2019-06-01
311,Cadillac,XT4,2019-07-01
452,Cadillac,XT4,2019-08-01
133,Cadillac,XT4,2019-09-01
201,Cadillac,XT4,2019-10-01
222,Cadillac,XT4,2019-11-01
201,Cadillac,XT4,2019-12-01
291,Cadillac,XT5,2019-01-01
333,Cadillac,XT5,2019-02-01
501,Cadillac,XT5,2019-03-01
522,Cadillac,XT5,2019-04-01
581,Cadillac,XT5,2019-05-01
439,Cadillac,XT5,2019-06-01
507,Cadillac,XT5,2019-07-01
530,Cadillac,XT5,2019-08-01
430,Cadillac,XT5,2019-09-01
385,Cadillac,XT5,2019-10-01
328,Cadillac,XT5,2019-11-01
328,Cadillac,XT5,2019-12-01
0,Cadillac,XT6,2019-01-01
0,Cadillac,XT6,2019-02-01
0,Cadillac,XT6,2019-03-01
0,Cadillac,XT6,2019-04-01
0,Cadillac,XT6,2019-05-01
0,Cadillac,XT6,2019-06-01
0,Cadillac,XT6,2019-07-01
0,Cadillac,XT6,2019-08-01
68,Cadillac,XT6,2019-09-01
75,Cadillac,XT6,2019-10-01
94,Cadillac,XT6,2019-11-01
74,Cadillac,XT6,2019-12-01
25,Cadillac,XTS,2019-01-01
28,Cadillac,XTS,2019-02-01
42,Cadillac,XTS,2019-03-01
44,Cadillac,XTS,2019-04-01
49,Cadillac,XTS,2019-05-01
37,Cadillac,XTS,2019-06-01
43,Cadillac,XTS,2019-07-01
45,Cadillac,XTS,2019-08-01
17,Cadillac,XTS,2019-09-01
53,Cadillac,XTS,2019-10-01
45,Cadillac,XTS,2019-11-01
4,Cadillac,XTS,2019-12-01
341,Chevrolet,Blazer,2019-01-01
851,Chevrolet,Blazer,2019-02-01
1405,Chevrolet,Blazer,2019-03-01
1514,Chevrolet,Blazer,2019-04-01
2701,Chevrolet,Blazer,2019-05-01
1975,Chevrolet,Blazer,2019-06-01
2514,Chevrolet,Blazer,2019-07-01
2722,Chevrolet,Blazer,2019-08-01
314,Chevrolet,Blazer,2019-09-01
350,Chevrolet,Blazer,2019-10-01
417,Chevrolet,Blazer,2019-11-01
106,Chevrolet,Blazer,2019-12-01
125,Chevrolet,Bolt,2019-01-01
143,Chevrolet,Bolt,2019-02-01
216,Chevrolet,Bolt,2019-03-01
225,Chevrolet,Bolt,2019-04-01
250,Chevrolet,Bolt,2019-05-01
189,Chevrolet,Bolt,2019-06-01
218,Chevrolet,Bolt,2019-07-01
228,Chevrolet,Bolt,2019-08-01
402,Chevrolet,Bolt,2019-09-01
305,Chevrolet,Bolt,2019-10-01
259,Chevrolet,Bolt,2019-11-01
322,Chevrolet,Bolt,2019-12-01
134,Chevrolet,Camaro,2019-01-01
154,Chevrolet,Camaro,2019-02-01
231,Chevrolet,Camaro,2019-03-01
240,Chevrolet,Camaro,2019-04-01
268,Chevrolet,Camaro,2019-05-01
202,Chevrolet,Camaro,2019-06-01
233,Chevrolet,Camaro,2019-07-01
244,Chevrolet,Camaro,2019-08-01
139,Chevrolet,Camaro,2019-09-01
209,Chevrolet,Camaro,2019-10-01
77,Chevrolet,Camaro,2019-11-01
89,Chevrolet,Camaro,2019-12-01
463,Chevrolet,Colorado,2019-01-01
529,Chevrolet,Colorado,2019-02-01
796,Chevrolet,Colorado,2019-03-01
828,Chevrolet,Colorado,2019-04-01
922,Chevrolet,Colorado,2019-05-01
696,Chevrolet,Colorado,2019-06-01
804,Chevrolet,Colorado,2019-07-01
841,Chevrolet,Colorado,2019-08-01
891,Chevrolet,Colorado,2019-09-01
723,Chevrolet,Colorado,2019-10-01
615,Chevrolet,Colorado,2019-11-01
423,Chevrolet,Colorado,2019-12-01
77,Chevrolet,Corvette,2019-01-01
88,Chevrolet,Corvette,2019-02-01
133,Chevrolet,Corvette,2019-03-01
138,Chevrolet,Corvette,2019-04-01
154,Chevrolet,Corvette,2019-05-01
116,Chevrolet,Corvette,2019-06-01
134,Chevrolet,Corvette,2019-07-01
140,Chevrolet,Corvette,2019-08-01
280,Chevrolet,Corvette,2019-09-01
163,Chevrolet,Corvette,2019-10-01
98,Chevrolet,Corvette,2019-11-01
48,Chevrolet,Corvette,2019-12-01
292,Chevrolet,Cruze,2019-01-01
353,Chevrolet,Cruze,2019-02-01
1114,Chevrolet,Cruze,2019-03-01
760,Chevrolet,Cruze,2019-04-01
511,Chevrolet,Cruze,2019-05-01
1698,Chevrolet,Cruze,2019-06-01
1501,Chevrolet,Cruze,2019-07-01
801,Chevrolet,Cruze,2019-08-01
1113,Chevrolet,Cruze,2019-09-01
917,Chevrolet,Cruze,2019-10-01
689,Chevrolet,Cruze,2019-11-01
151,Chevrolet,Cruze,2019-12-01
1058,Chevrolet,Equinox,2019-01-01
1210,Chevrolet,Equinox,2019-02-01
1821,Chevrolet,Equinox,2019-03-01
1895,Chevrolet,Equinox,2019-04-01
2110,Chevrolet,Equinox,2019-05-01
1593,Chevrolet,Equinox,2019-06-01
1840,Chevrolet,Equinox,2019-07-01
1924,Chevrolet,Equinox,2019-08-01
1188,Chevrolet,Equinox,2019-09-01
1599,Chevrolet,Equinox,2019-10-01
1499,Chevrolet,Equinox,2019-11-01
766,Chevrolet,Equinox,2019-12-01
233,Chevrolet,Express,2019-01-01
267,Chevrolet,Express,2019-02-01
402,Chevrolet,Express,2019-03-01
418,Chevrolet,Express,2019-04-01
465,Chevrolet,Express,2019-05-01
351,Chevrolet,Express,2019-06-01
406,Chevrolet,Express,2019-07-01
424,Chevrolet,Express,2019-08-01
170,Chevrolet,Express,2019-09-01
346,Chevrolet,Express,2019-10-01
294,Chevrolet,Express,2019-11-01
326,Chevrolet,Express,2019-12-01
194,Chevrolet,Impala,2019-01-01
221,Chevrolet,Impala,2019-02-01
333,Chevrolet,Impala,2019-03-01
347,Chevrolet,Impala,2019-04-01
386,Chevrolet,Impala,2019-05-01
291,Chevrolet,Impala,2019-06-01
337,Chevrolet,Impala,2019-07-01
352,Chevrolet,Impala,2019-08-01
114,Chevrolet,Impala,2019-09-01
191,Chevrolet,Impala,2019-10-01
143,Chevrolet,Impala,2019-11-01
74,Chevrolet,Impala,2019-12-01
338,Chevrolet,Malibu,2019-01-01
387,Chevrolet,Malibu,2019-02-01
582,Chevrolet,Malibu,2019-03-01
606,Chevrolet,Malibu,2019-04-01
675,Chevrolet,Malibu,2019-05-01
509,Chevrolet,Malibu,2019-06-01
588,Chevrolet,Malibu,2019-07-01
615,Chevrolet,Malibu,2019-08-01
521,Chevrolet,Malibu,2019-09-01
497,Chevrolet,Malibu,2019-10-01
423,Chevrolet,Malibu,2019-11-01
229,Chevrolet,Malibu,2019-12-01
3208,Chevrolet,Silverado,2019-01-01
3159,Chevrolet,Silverado,2019-02-01
4803,Chevrolet,Silverado,2019-03-01
4991,Chevrolet,Silverado,2019-04-01
5140,Chevrolet,Silverado,2019-05-01
208,Chevrolet,Silverado,2019-06-01
4080,Chevrolet,Silverado,2019-07-01
3867,Chevrolet,Silverado,2019-08-01
5216,Chevrolet,Silverado,2019-09-01
4429,Chevrolet,Silverado,2019-10-01
3766,Chevrolet,Silverado,2019-11-01
2970,Chevrolet,Silverado,2019-12-01
141,Chevrolet,Sonic,2019-01-01
161,Chevrolet,Sonic,2019-02-01
242,Chevrolet,Sonic,2019-03-01
252,Chevrolet,Sonic,2019-04-01
280,Chevrolet,Sonic,2019-05-01
212,Chevrolet,Sonic,2019-06-01
245,Chevrolet,Sonic,2019-07-01
256,Chevrolet,Sonic,2019-08-01
0,Chevrolet,Sonic,2019-09-01
0,Chevrolet,Sonic,2019-10-01
1,Chevrolet,Sonic,2019-11-01
0,Chevrolet,Sonic,2019-12-01
245,Chevrolet,Spark,2019-01-01
280,Chevrolet,Spark,2019-02-01
422,Chevrolet,Spark,2019-03-01
439,Chevrolet,Spark,2019-04-01
489,Chevrolet,Spark,2019-05-01
369,Chevrolet,Spark,2019-06-01
426,Chevrolet,Spark,2019-07-01
446,Chevrolet,Spark,2019-08-01
